"filename", "language", "JSON", "TypeScript", "HTML", "JSON with Comments", "JavaScript", "Markdown", "YAML", "SCSS", "Diff", "comment", "blank", "total"
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Timeline\TimelineRenderer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 25, 134
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Timeline\TimelineState.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 4, 23
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Trail\Renderers\CreateTrailRenderer.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 11, 13, 79
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Trail\Renderers\InfluenceTrailRenderer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Trail\Renderers\MoveTrailRenderer.ts", "TypeScript", 0, 120, 0, 0, 0, 0, 0, 0, 0, 9, 26, 155
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Trail\Renderers\PartialCreateTrailRenderer.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 10, 13, 78
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Trail\Renderers\PartialMoveTrailRenderer.ts", "TypeScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 10, 22, 130
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Trail\Renderers\TrailRenderer.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 6, 15, 72
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Trail\Trail.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 8, 9, 62
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Trail\TrailGroup.ts", "TypeScript", 0, 169, 0, 0, 0, 0, 0, 0, 0, 41, 47, 257
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Trail\TrailState.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\View\Environment\EnvironmentRenderer.ts", "TypeScript", 0, 376, 0, 0, 0, 0, 0, 0, 0, 45, 95, 516
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\View\Environment\data\DataRenderer.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 10, 39
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\View\Environment\data\DataState.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 2, 18, 77
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\View\Environment\data\array\ArrayRenderer.ts", "TypeScript", 0, 114, 0, 0, 0, 0, 0, 0, 0, 8, 29, 151
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\View\Environment\data\array\IndexRenderer.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\View\Environment\data\literal\LiteralRenderer.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\View\Environment\data\object\ObjectItemRenderer.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\View\Environment\data\object\ObjectRenderer.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 13, 13, 82
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\View\Environment\data\reference\FunctionRenderer.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\View\Environment\data\reference\ReferenceRenderer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\View\Environment\identifier\IdentifierRenderer.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 13, 46
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\View\View.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 17, 22, 92
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\View\ViewRenderer.ts", "TypeScript", 0, 174, 0, 0, 0, 0, 0, 0, 0, 36, 43, 253
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\View\ViewState.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 4, 20
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Visualization\Visualization.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 11, 13, 56
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Compiler.ts", "TypeScript", 0, 97, 0, 0, 0, 0, 0, 0, 0, 7, 17, 121
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Expressions\Array\ArrayExpression.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 5, 9, 57
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Expressions\BinaryOperations\AssigmentExpression.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 2, 8, 47
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Expressions\BinaryOperations\BinaryExpression\BinaryExpression.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 8, 61
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Expressions\BinaryOperations\LogicalExpression.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 2, 13, 76
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Expressions\BinaryOperations\MemberExpression.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 11, 8, 69
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Expressions\CallExpression.ts", "TypeScript", 0, 153, 0, 0, 0, 0, 0, 0, 0, 16, 21, 190
